epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,14283.4,1.2614,2.00753,0.90674,1.01981,0.80228,0.71552,0.78901,0.5357,0.765,0.66616,0.71287,0.38751,1.09581,1.72111,0.76434,0.94154,0.0095248,0.0095248,0.0095248
50,14547.8,1.26109,2.00966,0.90427,1.01798,0.79882,0.71925,0.78799,0.53724,0.76406,0.66622,0.71606,0.3899,1.09617,1.72106,0.76174,0.9441,0.0095149,0.0095149,0.0095149
51,14813.5,1.25532,1.99549,0.89924,1.01937,0.79823,0.72299,0.7905,0.53957,0.75868,0.67355,0.71789,0.39147,1.09515,1.71696,0.75694,0.94384,0.009505,0.009505,0.009505
52,15079.5,1.25594,1.98467,0.89784,1.01732,0.7891,0.73547,0.79303,0.5414,0.7695,0.66721,0.71982,0.39278,1.09561,1.7151,0.75442,0.94358,0.0094951,0.0094951,0.0094951
53,15346.9,1.25245,1.98083,0.89249,1.01348,0.80549,0.72739,0.79506,0.54248,0.77624,0.67129,0.72123,0.39336,1.09188,1.71126,0.75341,0.94052,0.0094852,0.0094852,0.0094852
54,15613.2,1.25746,1.99171,0.89501,1.01654,0.80991,0.72654,0.79545,0.54283,0.77885,0.67513,0.72486,0.39438,1.0899,1.70648,0.74976,0.94102,0.0094753,0.0094753,0.0094753
55,15879.1,1.24254,1.97105,0.88526,1.01457,0.80671,0.7291,0.79676,0.54355,0.77526,0.67726,0.72559,0.39601,1.08842,1.70308,0.74572,0.94244,0.0094654,0.0094654,0.0094654
56,16145.9,1.25189,1.98415,0.88835,1.01412,0.80272,0.73493,0.79729,0.54582,0.77218,0.6776,0.72475,0.39662,1.08607,1.69891,0.7439,0.94069,0.0094555,0.0094555,0.0094555
57,16412.5,1.24962,1.98148,0.88997,1.01418,0.80864,0.7335,0.79839,0.54784,0.77199,0.6836,0.72659,0.39677,1.08428,1.69687,0.74173,0.93995,0.0094456,0.0094456,0.0094456
58,16678,1.24058,1.9739,0.88137,1.01173,0.80987,0.73407,0.79924,0.5486,0.77626,0.68064,0.72554,0.3975,1.08092,1.69566,0.73949,0.93921,0.0094357,0.0094357,0.0094357
59,16944.1,1.24186,1.96473,0.8824,1.01306,0.81003,0.7336,0.79897,0.54956,0.77846,0.67841,0.72685,0.39765,1.07773,1.69272,0.7392,0.93632,0.0094258,0.0094258,0.0094258
60,17211.2,1.24053,1.95719,0.87922,1.00968,0.81188,0.73318,0.79929,0.55095,0.77607,0.6832,0.7284,0.39814,1.07606,1.6893,0.7371,0.93519,0.0094159,0.0094159,0.0094159
61,17477.6,1.23803,1.96414,0.87925,1.01025,0.81549,0.73275,0.79978,0.55151,0.77516,0.68354,0.72795,0.399,1.0751,1.68871,0.73466,0.93509,0.009406,0.009406,0.009406
62,17744.9,1.24245,1.96587,0.87773,1.01185,0.81889,0.73301,0.80069,0.55241,0.77732,0.68153,0.72722,0.39992,1.0727,1.68542,0.73081,0.93357,0.0093961,0.0093961,0.0093961
63,18013.4,1.24332,1.96747,0.87915,1.01054,0.81724,0.73342,0.80205,0.55411,0.78111,0.68296,0.7294,0.40001,1.07169,1.68368,0.72965,0.93336,0.0093862,0.0093862,0.0093862
64,18279.8,1.23894,1.95041,0.87216,1.00904,0.81761,0.73283,0.80258,0.55433,0.77997,0.68341,0.73107,0.40066,1.06898,1.68311,0.72866,0.93187,0.0093763,0.0093763,0.0093763
65,18546.2,1.23308,1.94911,0.86666,1.00823,0.81992,0.73467,0.80333,0.55482,0.77859,0.6858,0.73254,0.4014,1.06796,1.68231,0.72757,0.9314,0.0093664,0.0093664,0.0093664
66,18812,1.2342,1.94874,0.86946,1.008,0.82136,0.73434,0.80364,0.555,0.7831,0.68735,0.73357,0.40222,1.06606,1.68032,0.72648,0.92991,0.0093565,0.0093565,0.0093565
67,19078.3,1.2287,1.94787,0.86497,1.00869,0.82349,0.73308,0.80407,0.5553,0.78358,0.68846,0.73439,0.40317,1.06571,1.67926,0.72452,0.9307,0.0093466,0.0093466,0.0093466
68,19344.4,1.2375,1.95011,0.86995,1.0104,0.82449,0.73233,0.80431,0.55611,0.78559,0.6852,0.73222,0.40312,1.06548,1.67839,0.72375,0.93064,0.0093367,0.0093367,0.0093367
69,19610.2,1.23267,1.94172,0.86669,1.00565,0.82033,0.73638,0.80521,0.55666,0.78477,0.68741,0.73442,0.40373,1.06529,1.67776,0.72245,0.93106,0.0093268,0.0093268,0.0093268
70,19877.1,1.22799,1.94309,0.86511,1.00622,0.82337,0.73654,0.80633,0.55742,0.78458,0.68994,0.73799,0.40447,1.06444,1.67629,0.72112,0.93084,0.0093169,0.0093169,0.0093169
71,20144.3,1.23247,1.94371,0.86175,1.0032,0.8252,0.73465,0.80649,0.55817,0.78907,0.68862,0.73857,0.40504,1.06286,1.67595,0.72042,0.92956,0.009307,0.009307,0.009307
72,20410.6,1.22564,1.93424,0.85842,1.00539,0.82344,0.73728,0.80711,0.55817,0.78351,0.6924,0.7396,0.40588,1.06204,1.67427,0.71964,0.92892,0.0092971,0.0092971,0.0092971
73,20677.7,1.22431,1.93679,0.85955,1.00623,0.8195,0.73841,0.80672,0.55799,0.78383,0.69372,0.74013,0.40639,1.06151,1.6736,0.71847,0.92886,0.0092872,0.0092872,0.0092872
74,20942.9,1.22867,1.9387,0.85548,1.00599,0.8205,0.73857,0.80702,0.55903,0.7844,0.69439,0.7412,0.40721,1.06075,1.67177,0.71762,0.92826,0.0092773,0.0092773,0.0092773
75,21208.1,1.22459,1.93572,0.85899,1.00472,0.8226,0.73898,0.80795,0.55973,0.78563,0.69295,0.74187,0.40796,1.06008,1.67115,0.717,0.92798,0.0092674,0.0092674,0.0092674
76,21474.4,1.2214,1.92319,0.85141,1.00343,0.8182,0.74155,0.80813,0.56,0.78803,0.69387,0.74305,0.40828,1.05992,1.66968,0.71634,0.92767,0.0092575,0.0092575,0.0092575
77,21742,1.22597,1.92836,0.85098,1.00309,0.81743,0.74069,0.80827,0.56006,0.7898,0.69023,0.74263,0.40815,1.0598,1.66865,0.71553,0.92791,0.0092476,0.0092476,0.0092476
78,22009.2,1.22603,1.93677,0.85044,1.00444,0.81782,0.74039,0.80835,0.5606,0.78873,0.69332,0.74232,0.40864,1.05931,1.66763,0.71472,0.92814,0.0092377,0.0092377,0.0092377
79,22276.3,1.21882,1.92244,0.84827,1.00353,0.81666,0.74017,0.80846,0.56132,0.78588,0.69343,0.7419,0.40939,1.05836,1.66624,0.71433,0.92739,0.0092278,0.0092278,0.0092278
80,22540.9,1.22221,1.93131,0.85065,1.00402,0.81912,0.73934,0.8084,0.56167,0.78472,0.69337,0.74174,0.4093,1.05764,1.66527,0.71332,0.92736,0.0092179,0.0092179,0.0092179
81,22807,1.22621,1.93633,0.85313,1.0024,0.81707,0.74153,0.80872,0.56245,0.78777,0.69158,0.74222,0.41024,1.05739,1.66439,0.71252,0.92702,0.009208,0.009208,0.009208
82,23073,1.21733,1.91748,0.84756,1.00281,0.82271,0.73722,0.80899,0.56255,0.78769,0.69105,0.74243,0.40968,1.05671,1.6629,0.71225,0.92666,0.0091981,0.0091981,0.0091981
83,23339.2,1.22083,1.91824,0.84985,1.00179,0.81981,0.7391,0.80916,0.56302,0.78944,0.69086,0.74287,0.4091,1.05579,1.66173,0.71211,0.9262,0.0091882,0.0091882,0.0091882
84,23606.2,1.21475,1.9123,0.84114,0.99943,0.82118,0.74027,0.80977,0.56378,0.78702,0.69208,0.74312,0.40963,1.0549,1.66098,0.712,0.92586,0.0091783,0.0091783,0.0091783
85,23876.2,1.21456,1.90555,0.8393,0.99794,0.81802,0.74294,0.80997,0.56408,0.7883,0.69231,0.74328,0.41078,1.05452,1.65999,0.7114,0.92585,0.0091684,0.0091684,0.0091684
86,24142.6,1.21196,1.90994,0.83791,1.0005,0.81662,0.7443,0.81013,0.56448,0.78623,0.69285,0.74328,0.41093,1.05344,1.65885,0.71031,0.92544,0.0091585,0.0091585,0.0091585
87,24409.2,1.21731,1.92064,0.84414,1.00066,0.82246,0.74052,0.8106,0.56478,0.78568,0.69265,0.74289,0.41138,1.05314,1.6585,0.70939,0.92535,0.0091486,0.0091486,0.0091486
88,24675.7,1.21372,1.91347,0.84501,1.00156,0.81663,0.74226,0.81033,0.56523,0.78725,0.69147,0.74269,0.41179,1.05262,1.65777,0.70853,0.92544,0.0091387,0.0091387,0.0091387
89,24941.9,1.21214,1.90623,0.84025,0.99843,0.81549,0.74419,0.81118,0.56551,0.7894,0.68991,0.74291,0.41228,1.05196,1.65662,0.70797,0.92512,0.0091288,0.0091288,0.0091288
90,25208.2,1.21488,1.91495,0.84309,0.99998,0.81477,0.74365,0.81106,0.56596,0.78429,0.69245,0.74343,0.41268,1.05164,1.65567,0.70711,0.925,0.0091189,0.0091189,0.0091189
91,25474.3,1.2142,1.91736,0.84307,0.99996,0.81511,0.74452,0.81138,0.56615,0.7856,0.69186,0.74372,0.41311,1.05103,1.65453,0.70717,0.92468,0.009109,0.009109,0.009109
92,25739.9,1.21058,1.90055,0.83842,0.99954,0.80879,0.74808,0.81107,0.5662,0.78674,0.6905,0.74423,0.41321,1.05025,1.65356,0.70659,0.92439,0.0090991,0.0090991,0.0090991
93,26006.6,1.20974,1.90589,0.83324,0.99694,0.81049,0.74754,0.81161,0.5663,0.78608,0.69006,0.74411,0.41362,1.04976,1.65231,0.70606,0.92425,0.0090892,0.0090892,0.0090892
94,26272,1.20877,1.90932,0.83861,0.99672,0.81141,0.74776,0.8118,0.56708,0.79039,0.68928,0.74438,0.41389,1.04908,1.65085,0.70559,0.92398,0.0090793,0.0090793,0.0090793
95,26538.5,1.207,1.89917,0.83162,0.99612,0.80965,0.7485,0.81179,0.56722,0.79087,0.68907,0.74448,0.41388,1.04882,1.64962,0.70481,0.92405,0.0090694,0.0090694,0.0090694
96,26804.5,1.20603,1.89347,0.83427,0.99891,0.80798,0.74893,0.81219,0.56756,0.7979,0.68646,0.74592,0.41455,1.04821,1.64839,0.70419,0.92364,0.0090595,0.0090595,0.0090595
97,27070.1,1.20798,1.9032,0.83462,0.99619,0.81202,0.747,0.81234,0.56794,0.79568,0.68758,0.74637,0.41475,1.04767,1.64834,0.70363,0.92363,0.0090496,0.0090496,0.0090496
98,27336.4,1.20539,1.89983,0.83362,0.99722,0.80857,0.74883,0.81237,0.56788,0.79613,0.68719,0.74521,0.41468,1.04734,1.64806,0.70347,0.92358,0.0090397,0.0090397,0.0090397
99,27602.5,1.20204,1.88341,0.82383,0.99331,0.80923,0.74801,0.81247,0.56867,0.79117,0.68995,0.74605,0.41542,1.04625,1.6471,0.70282,0.92315,0.0090298,0.0090298,0.0090298
100,27867.2,1.20344,1.88781,0.82856,0.99637,0.80998,0.74824,0.81238,0.5692,0.79234,0.69008,0.74629,0.4154,1.04549,1.64563,0.70244,0.92281,0.0090199,0.0090199,0.0090199
101,28132.1,1.20398,1.88962,0.83093,0.99589,0.81481,0.74445,0.81238,0.56938,0.79314,0.69089,0.74648,0.41568,1.04475,1.64469,0.70157,0.92266,0.00901,0.00901,0.00901
102,28398,1.2071,1.88975,0.82913,0.99447,0.8111,0.7479,0.81271,0.56932,0.79157,0.69111,0.7463,0.41592,1.04425,1.64499,0.70129,0.92236,0.0090001,0.0090001,0.0090001
103,28664.3,1.20109,1.88618,0.82226,0.99235,0.81423,0.74655,0.81272,0.56991,0.79346,0.69101,0.74666,0.41629,1.044,1.64322,0.70086,0.92221,0.0089902,0.0089902,0.0089902
104,28929.1,1.20515,1.89295,0.82668,0.99646,0.81387,0.74821,0.81298,0.57015,0.79489,0.68953,0.74675,0.41671,1.04357,1.6424,0.70013,0.92219,0.0089803,0.0089803,0.0089803
